contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,47,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,48,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,49,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,50,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,51,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,52,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,53,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,54,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,55,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,56,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,57,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,58,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,59,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,60,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,1,61,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,0,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,1,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,2,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,3,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,4,16,0.7384806973848069,0.7564158329708569,-0.017935135586049977
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,5,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,6,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,7,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,8,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,9,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,10,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,11,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,12,16,0.7342515748425157,0.7240740740740741,0.010177500768441594
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,13,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,14,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,15,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,16,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,17,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,18,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,19,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,20,16,0.75,0.75,0.0
