legacy_fingerprint,dataset,model,task,seed,fold_id,window_length,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,v1_5_identity_id,n_ok_records_on_this_substrate,n_scored_on_this_substrate,n_config_hashes_on_this_substrate,config_hashes,experiments,n_substrates_sharing_this_fingerprint,classification
2a9ff4bc0276fc2b,d2_beef_uncontrolled,R1,regression,0,0,16,250,,,R1_weight_shuffled,,c08c7aea4a27c493,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
2a9ff4bc0276fc2b,d2_beef_uncontrolled,R1,regression,0,0,16,4000,,,R1_weight_shuffled,,7d8c15bb26e1081e,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
2a9ff4bc0276fc2b,d2_beef_uncontrolled,R1,regression,0,0,16,500,,,R1_weight_shuffled,,6264d0c609fc12d3,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
3340acac07933d83,d2_beef_uncontrolled,R5,classification,0,1,16,1000,,,R5_small_world,,2ed69ac3456b9b3e,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
3340acac07933d83,d2_beef_uncontrolled,R5,classification,0,1,16,2000,,,R5_small_world,,cc29e21da5f6f9d8,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
3340acac07933d83,d2_beef_uncontrolled,R5,classification,0,1,16,250,,,R5_small_world,,0bfcd40ae07d3911,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
3340acac07933d83,d2_beef_uncontrolled,R5,classification,0,1,16,4000,,,R5_small_world,,76cc3c0825c53355,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
3340acac07933d83,d2_beef_uncontrolled,R5,classification,0,1,16,500,,,R5_small_world,,f03cc8e0228cc51f,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
39c828f5cc31a9f7,d2_beef_uncontrolled,R3,classification,0,3,16,1000,,,R3_random_sparse,,a8ca4549e4fdaada,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
39c828f5cc31a9f7,d2_beef_uncontrolled,R3,classification,0,3,16,2000,,,R3_random_sparse,,bc127c92f9cace44,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
39c828f5cc31a9f7,d2_beef_uncontrolled,R3,classification,0,3,16,250,,,R3_random_sparse,,ef23b006e089cd07,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
39c828f5cc31a9f7,d2_beef_uncontrolled,R3,classification,0,3,16,4000,,,R3_random_sparse,,5195fdc23a7c5c57,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
39c828f5cc31a9f7,d2_beef_uncontrolled,R3,classification,0,3,16,500,,,R3_random_sparse,,fe9e66fb641c0c52,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
45c87a4ad9a71818,d2_beef_uncontrolled,R1,classification,0,0,16,1000,,,R1_weight_shuffled,,044dfa35e73c4e31,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
45c87a4ad9a71818,d2_beef_uncontrolled,R1,classification,0,0,16,2000,,,R1_weight_shuffled,,397e3afd5d746181,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
45c87a4ad9a71818,d2_beef_uncontrolled,R1,classification,0,0,16,250,,,R1_weight_shuffled,,fd56b7b07bf20946,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
